id,na_article_url,na_image_url,na_publication,na_title,na_publish_date,na_author,na_blurb,na_feature,na_order
,http://www.inc.com/drew-hendricks/what-makes-silicon-prairie-the-friendliest-tech-hub-ever.html,,f,What Makes Silicon Prairie the Friendliest Tech Hub Ever,2015-07-03,Drew Hendricks,,0,
,,,KCTV 5 Better KC,Smart Consistent Steps to Retirment,2015-07-06,Chris Costello,,0,
,http://moneylifeshow.com/archives.asp,,Money Life Show,,2015-07-06,Chris Costello,,0,
,https://goo.gl/Fp7jyU,,SmartAssets.com,The Top 10 Robo-Advisors,2015-07-06,Amelia Josephson  ,,1,
,http://www.inc.com/zoe-henry/this-startup-wants-to-invest-your-401-k-for-you.html,,Inc.,"For Less Than $15, This Startup Will Manage Your 401(k) for You",2015-07-07,Zoe Henry,,0,
,http://goo.gl/VOnW1M,,Investment News,"Wealthfront sparks robo price war, drops account minimum to $500",2015-07-08," Alessandra "Ali" Malito ""Alessandra """",,0,
,http://www.financial-planning.com/news/technology/whats-the-point-of-wealthfronts-bluster-2693487-1.html,,Financial Planning,What's the Point of Wealthfront's Bluster?,2015-07-10,Sharon Adarlo,,0,
,http://www.bpinetwork.org/game-changers/insights/30,,Business Performance Innovation,5 Big Questions on Innovation,2015-07-01,Greg Smith,,1,
,http://www.forbes.com/sites/robertberger/2015/07/19/4-tools-to-make-you-a-better-401k-investor/,,Forbes,4 Tools To Make You A Better 401k Investor,2015-07-19,Rob Berger,,0,
,http://www.huffingtonpost.com/dan-solin/theres-hope-for-401k-part_b_7841972.html,,Huffington Post,There's Hope For 401(k) Participants,2015-07-28,Dan Solin,,0,
,http://www.investmentnews.com/article/20150730/FREE/150739992/betterment-catches-up-to-wealthfront-in-aum-as-robo-competition,,Investment News,Betterment catches up to Wealthfront in AUM as robo competition reaches boiling point,2015-07-30,Alessandro Malito,,0,
,http://m.kiplinger.com/article/investing/T023-C000-S002-is-a-robo-adviser-right-for-you.html,,Kiplinger,Is a Robo Adviser Right for You?,,Nellie Huang,,0,
,http://wealthmanagement.com/people/ten-watch-2016-chris-costello,,Wealth Management,Ten to Watch 2016: Chris Costello,2015-08-03,Ryan Neal,,1,
,http://www.bankrate.com/financing/investing/robo-advisers-serve-small-investors/,,Bankrate,Robo-advisers serve small investors,2015-08-04,Dr. Don Taylor,,0,
,http://youngfinances.com/blog/6-finance-apps-help-college-students-embrace-geekness-moneynerdsunite/,,Young Finance,6 Finance Apps for College Students: Embrace Your Geekness,2015-08-05,LaTisha Styles,,0,
,http://bigstory.ap.org/article/f3b6dbf86d464b409af68d3b95967da3/4-questions-consider-investing-robo-adviser,,Associated Press,4 questions to consider before investing with a robo adviser,2015-08-05, Alex Veiga,,1,
,http://bit.ly/1TklznH,,Kansas City Mom's Blog,Focus on the Present with Blooom Fund Management,2015-08-10,Maureen Welsh,,0,
,http://whitecoatinvestor.com/what-you-need-to-know-about-roboadvisors/,,The White Coat Investor,What You Need to Know About Roboadvisors,2015-08-10,"James M. Dahle, MD",,0,
,http://www.cbsnews.com/news/3-ways-to-get-cheap-401k-advice/,,CBSNews.com,3 ways to get cheap 401(k) advice,2015-08-14,Liz Weston,,1,
,http://wybc.com/shows-current/business-talk/2015/08/biz-talk-with-jim-campbell-former-us-ambassador-to-belgium-scandal-and-back-the-dangerous-savings-crisis-in-america/,,The Yale Broadcasting Co.,""Biz Talk with Jim Campbell"""Biz Talk with Jim Campbell"""",2015-08-14,Jim Campbell,,0,
,http://www.investmentnews.com/article/20150826/FREE/150829933/401-k-advice-gap-presents-opportunity-for-advisers,,Investment News,401(k) advice gap presents opportunity for advisers,2015-08-26,Greg Lacurci,,0,
,http://www.institutionalinvestor.com/article/3484115/investors-registered-investment-advisers/the-longevity-of-robo-advisers-and-retirement-planning.html#.VecKkPHYlhF,,Institutional Investor,The Longevity of Robo Advisers and Retirement Planning,2015-08-28,Dan Weil,,0,
,http://www.kctv5.com/story/29932345/kansas-city-startup-targets-millennials-money,,KCTV 5 News,Kansas City startup targets millennials & money,2015-09-01,Lisa D'Souza,,0,
,http://bit.ly/1FIiqxh,,Kansas City Business Journal,"Blooom surpasses $100M in AUM, looks to hire",2015-11-16,James Dornbrook,,0,
,http://fox4kc.com/2015/09/18/10-start-ups-triumph-at-techweek-earning-grants-office-space/,,Fox 4 News,"10 start-ups triumph at Techweek, earning grants, office space",2015-11-18,Melissa Stern,,0,
,http://www.thisiskc.com/2015/09/top-takeaways-techweek-kc/,,ThisIsKC.Com,Top Takeaways from TechweekKC,2015-09-19,Riley Mortensen,,0,
,https://investorjunkie.com/44560/best-robo-advisors/,,Investor Junkie,The Best Robo-Advisors – Which Firm is Right for You?,2015-09-24,Larry Ludwig,,1,
,http://edckc.com/launchkc-grant-winners-announced/,,Economic Development Corporation KC,LaunchKC Grant Competition Winners Announced During TechweekKC,2015-09-27,EDCKC,,0,
,http://cooconnect.com/news/the-future-of-retail-savings-is-blooom,,CooConnect Peer Group Network,The future of retail savings is Blooom,2015-09-25,COOConnect,,1,
,http://www.csmonitor.com/Business/Saving-Money/2015/0929/How-to-invest-your-401-K,,The Christian Science Monitor,How to invest your 401(K),2015-09-29,Arielle O'Shea,,0,
,http://www.marketwatch.com/story/robo-advisors-and-traditional-investment-advisors-battle-for-hearts-and-minds-of-retail-investors-tabb-research-2015-09-30,,Market Watch,Robo-Advisors and Traditional Investment Advisors Battle for Hearts and Minds of Retail Investors: TABB Research,2015-09-30,Press Release,,0,
,http://www.money-rates.com/personal-finance/robo-advisors-machine-retirement-savings.html,,MoneyRates.com,Robo-advisors: Would you trust a machine with your retirement savings?,2015-01-02,Maryalene LaPonsie,,1,
,http://www.cnbc.com/2015/10/05/can-robots-close-the-retirement-savings-gap.html,,CNBC,Can robots close the retirement savings gap?,2015-01-05,Tom Anderson,,1,
,http://abcnews.go.com/Business/scathing-goldman-sachs-op-ed-greg-smith-takes/story?id=34475545,,ABC News,"After Scathing Goldman Sachs Op-Ed, Greg Smith Takes Aim at Helping Americans Retire Better",2015-01-14,Susanna Kim,,1,
,http://www.startlandnews.com/2015/10/blooom-to-expand-with-4m-series-a/,,Startland News,Blooom to expand with $4M Series A,2015-10-15,Bobby Burch,,0,
,http://finovate.com/blooom-announces-4-million-series-a-round-led-by-qed-investors/?utm_source=feedblitz&utm_medium=FeedBlitzEmail&utm_content=646536&utm_campaign=0,,Finovate,Blooom Announces $4 Million Series A Round Led by QED Investors,2015-10-15,David Penn,,0,
,http://www.inc.com/drew-hendricks/5-non-valley-startup-rocket-ships-you-need-to-know-about-now.html,,Inc.,5 Non-Valley Startup Rocket Ships You Need to Know About Now,2015-10-16,Drew Hendricks,,1,
,http://siliconprairienews.com/2015/10/blooom-raises-4-million-in-series-a-led-by-qed/,,Silicon Prairie News,"blooom raises $4 million in Series A, led by QED",2015-10-16,Ryan Pendell,,0,
,http://stacyknows.com/2015/10-ways-to-save-more-each-month/#10WaystoSaveMoreEachMonth,,Stacyknows,10 Ways to Save More Each Month,2015-10-16,Maureen Welsh,,0,
,http://www.bizjournals.com/kansascity/blog/bizventures-kc/2015/10/blooom-series-a-investors.html,,Kansas City Business Journal,Blooom's $4M fundraising effort includes local investors,2015-10-16,James Dornbrook,,0,
,http://wealthmanagement.com/blog/mass-mutual-targeting-millennials,,Wealth Management,Mass Mutual Targeting Millennials/Blooom is Blooming,2015-10-19,WealthManagement staff,,0,
,http://completebenefitalliance.com/the-voluntary-benefit-you-never-realized-was-missing/,,Complete Benefit Alliance,The Voluntary Benefit You Never Realized was Missing,2015-10-19,Kevin Conard,,0,
,http://missouribusinessalert.com/entrepreneurs/65618/2015/10/19/bloooms-4m-fundraising-effort-includes-local-investors/,,Missouri Business Alert,Blooom’s $4M fundraising effort includes local investors,2015-10-19,From KCBJ,,0,
,http://www.startlandnews.com/2015/10/blooom-co-founder-dissects-4m-raise/,,Startland News,Blooom co-founder dissects $4M raise,2015-10-19,Bobby Burch,,0,
,http://video.foxbusiness.com/v/4565527493001/the-future-of-401ks/?playlist_id=3166411554001#sp=show-clips,,"Fox Business, Mornings with Maria",The Future of 401ks,2015-10-19,Maria Bartiromo,,1,
,http://www.npr.org/2015/10/20/445337189/would-you-let-a-robot-manage-your-retirement-savings,,NPR,Would You Let A Robot Manage Your Retirement Savings?,2015-10-20,Uri Berliner,,1,
,http://nymag.com/daily/intelligencer/2015/10/banker-who-quit-goldman-wants-to-fix-your-401k.html?mid=twitter_nymag,,NYMag.com,The Banker Who Quit Goldman Sachs and Called the Firm Out Wants to Fix Your 401(k),2015-10-22,Annie Lowrey,,1,
,http://siliconprairienews.com/2015/10/blooom-raises-4-million-in-series-a-led-by-qed/,,Silicon Prairie News,"blooom raises $4 million in Series A, led by QED",2015-10-26,Ryan Pendell,,0,
,http://whatsupkansascity.net/interview-with-chris-costello-of-blooom-financial-services/,,What's Up Kansas City,Interview with Chris Costello of Blooom Financial Services,2015-11-02,Glenn Frizell ,,0,
,https://www.mainstreet.com/article/this-simplified-401k-robo-advisor-hopes-to-flower-on-wall-street,,Main St.,This Simplified 401(k) Robo-Advisor Hopes to Flower on Wall Street,2015-11-04,Mark Henricks,,1,
,http://www.yourmillennialmoney.com/robo-retirement/,,YourMillennialMoney,What Can A Robot Do For Your Retirement (Podcast),2015-11-16,Shannah Game,,0,
,http://www.startlandnews.com/2015/11/blooom-wins-kauffman-foundation-pitch-bout-10k/,,Startland News,"Blooom wins Kauffman Foundation pitch bout, $10K",2015-11-28,Bobby Burch,,0,
,http://kcur.org/post/leawood-based-startup-blooom-riding-high-after-busy-year#stream/0,,KCUR Pod Cast,Leawood-Based Startup 'Blooom' Riding High After A Busy Year,2015-11-20,Lisa Rodrigues,,0,
,http://www.kansascity.com/news/business/personal-finance/article45265683.html,,KC Star,Leawood-based Blooom among five finalists for One in a Million,2015-11-17,Mark Davis,,0,
,http://www.startlandnews.com/2015/11/and-then-there-was-one-blooom-the-sole-local-firm-left-in-national-pitch-contest/,,Startland News,And then there was one: Blooom the sole local firm left in national pitch contest,2015-11-17,Bobby Burch,,0,
,http://www.kansascity.com/news/business/article45354819.html,,KC Star,Leawood-based startup Blooom wins Kauffman Foundation contest,2015-11-18,Mark Davis,,1,
,http://ebn.benefitnews.com/news/retirement/everything-you-need-to-know-about-robo-advisers-2747784-1.html,,EBN,Everything you need to know about robo-advisers,2015-12-01,Andrea Davis,,0,
,http://ebn.benefitnews.com/news/retirement/do-401k-plans-need-fixing-2747866-1.html,,EBN,Do 401(k) plans need fixing?,2015-12-09,Suleman Din,,0,
,https://ithinkbigger.com/blooom-helps-401ks-grow/,,Thinking Bigger,How Blooom Helps 401(K)s Grow,2015-12-15,Pete Dulin,,1,
,http://siliconprairienews.com/2015/12/our-10-favorite-kansas-startup-stories-of-2015/,,Silicon Prairie News,Our 10 favorite Kansas startup stories of 2015,2015-12-22,Ryan Pendell,,0,
,http://siliconprairienews.com/2015/12/our-10-favorite-missouri-startup-stories-of-2015/,,Silicon Prairie News,Our 10 favorite Missouri startup stories of 2015,2015-12-23,Ryan Pendell,,0,
,https://www.nerdwallet.com/blog/investing/best-robo-advisors/,,NerdWallet,The Best Robo-Advisors,2016-01-05,Arielle O'Shea,,1,
,http://www.kansascity.com/news/business/personal-finance/article53358895.html,,KC Star,Former FDIC head Sheila Bair to open Blooom store in Leawood,2016-01-06,Mark Davis,,0,
,http://www.startlandnews.com/2016/01/top-10-kansas-city-startups-to-watch-in-2016/,,Startland,Top 10 Kansas City Startups to watch in 2016,2016-01-06,Startland Staff,,1,
